calculator_id,name,question,user,frequency,inputs,outputs,formula,datasets,source,confidence,difficulty,value,recurrence,seo,shareable,customization,risk,data_dependency,evergreen,recommendation
CALC016,Max Battle Team Simulator,¿Podemos derrotar a este Power Spot Boss con mi equipo Dynamax?,Hardcore,Alta,"Equipo, Niveles de Max Moves, Boss","Viabilidad del combate, daño, curaciones necesarias",Simulación por turnos de Max Battle,DAT001 + DAT006,SRC010,Media,Alta,Alta,Alta,Alta,Sí,Alta,Medio,Alta,Sí,Fase 3
CALC017,Buddy Level Up Planner,¿En cuántos días llegaré a Mejor Compañero con mi rutina?,Casual,Baja,"Actividades diarias (caminar, alimentar, combatir)","Días necesarios, corazones acumulados",Suma diaria de corazones,Ninguno,SRC001,Alta,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC018,Mega Cooldown Optimizer,¿Cómo optimizar mi Mega Energía para alcanzar nivel Mega 3 rápido?,Hardcore,Baja,"Nivel Mega actual, Mega Energía disponible, Frecuencia de uso","Días necesarios, costo de energía esperado",Simulación de progresión con cooldown,DAT001,SRC002,Alta,Baja,Media,Baja,Baja,Sí,Baja,Nulo,Alta,Sí,Fase 3
CALC019,Shadow vs Purified Cost-Benefit,¿Conviene purificar a este Pokémon de IVs X/Y/Z?,Hardcore,Alta,"Especie, IVs shadow, Uso (PvE/PvP)","Comparativa de daño, costo de recursos y CP final (Shadow vs Purified)",Comparación de CP/Daño/Recursos,DAT001 + DAT004,SRC002,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Alta,Sí,Fase 2
CALC020,Elite TM Value Matrix,¿A qué Pokémon le conviene más una MT Élite?,Hardcore,Alta,"Uso (PvE/PvP), Lista de Pokémon del inventario","Incremento porcentual de DPS/TDO o relevancia en PvP",Cálculo de delta de DPS/Stat product,DAT001 + DAT004,SRC005,Alta,Media,Alta,Alta,Alta,Sí,Media,Bajo,Alta,Sí,Fase 2
CALC021,XP Grind Planner,¿Cómo llego al nivel 50 de forma óptima?,Casual,Baja,"Nivel actual, XP actual, Actividades preferidas","Tiempo estimado, estrategia óptima",Regresión lineal simple de XP,Ninguno,SRC001,Alta,Baja,Baja,Baja,Media,No,Baja,Nulo,Baja,Sí,Descartar
CALC022,Stardust Farm Planner,¿Cuánto tardaré en conseguir X polvos estelares?,Casual,Baja,"Objetivo de polvos, Actividades (capturas, raids, GBL)","Días estimados, distribución de actividades",Suma simple por actividad,Ninguno,SRC001,Alta,Baja,Baja,Baja,Media,No,Baja,Nulo,Baja,Sí,Descartar
CALC023,Bag & Storage expansion utility,¿Me conviene ampliar espacio de Pokémon u Objetos?,Casual,Baja,"Estilo de juego (activo/inactivo), espacio actual","Recomendación cualitativa y retorno de inversión esperado",Matriz de utilidad subjetiva,Ninguno,SRC001,Baja,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC024,Raid Pass expected value,¿Cuál es el valor real de mis monedas en pases de incursión?,Casual,Baja,"Precio del pack de monedas, Tipo de pases","Monedas por pase, caramelos/experiencia/shiny por moneda",Ratios lineales simples,Ninguno,SRC001,Alta,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC025,Event Shiny Odds Compatibility Test,¿Mis reportes locales se desvían de las tasas de shiny esperadas?,Hardcore,Media,"Encuentros totales, Shinys observados, Tasa esperada","Intervalo de confianza, p-valor, tamaño de efecto, conclusión de anomalía",Wilson / Clopper-Pearson / Binomial exacto,DAT003,SRC004,Alta,Media,Alta,Media,Media,Sí,Baja,Bajo,Alta,Sí,Fase 3
CALC026,Friendship coordinate planner,¿Cuándo activar Huevo Suerte para maximizar el XP de amistad?,Casual,Baja,"Lista de amigos a 1 día de subir de nivel, Zona horaria","Calendario recomendado de apertura",Algoritmo de agrupación horaria,Ninguno,SRC001,Alta,Baja,Baja,Baja,Baja,No,Baja,Nulo,Baja,Sí,Descartar
CALC027,Type Effectiveness Matrix,¿Cuáles son las debilidades y fortalezas de una combinación de tipos?,Casual,Alta,"Tipo 1, Tipo 2","Lista de eficacias de daño (debilidades x2.56/x1.6, resistencias x0.39/x0.24)",Multiplicación de eficacias base,Ninguno,SRC006,Alta,Baja,Alta,Alta,Alta,Sí,Baja,Nulo,Baja,Sí,Fase 2
CALC028,Dodge Damage reduction ROI,¿Esquivar charged moves mejora mi TDO en Raids?,Hardcore,Media,"Atacante, Boss, Tipo de esquiva (Perfecta/Tardia)","Delta de DPS y TDO con y sin esquiva",FOR010,DAT001 + DAT004 + DAT005,SRC005,Alta,Media,Media,Media,Media,Sí,Alta,Bajo,Alta,Sí,Fase 3
CALC029,GBL Team Builder Coverage Analyzer,¿Qué vulnerabilidades tiene mi equipo PvP de 3?,Hardcore,Alta,"Pokémon 1, Pokémon 2, Pokémon 3","Calificación de cobertura, amenazas críticas, sinergias de tipos",Matriz de eficacia agregada + simulación PvPoke,DAT001 + DAT004,SRC003,Alta,Alta,Alta,Alta,Alta,Sí,Alta,Medio,Alta,Sí,Fase 3
CALC030,Candy XL transfer optimization,¿Cuándo conviene transferir Pokémon para conseguir Caramelos XL?,Hardcore,Alta,"Especie, Nivel del Pokémon, Eventos con bono de transferencia","Probabilidad de obtener Caramelo XL, estrategia óptima (guardar/transferir)",Tasa de XL de transferencia por nivel,DAT001,SRC004,Alta,Baja,Alta,Media,Media,Sí,Baja,Nulo,Alta,Sí,Fase 2
